Store Code,Store Name,Item ID,Item Name,SKU,Barcode,Category,Item Type,Status,Cost Price ($),Selling Price ($),Stock Qty,Reorder Level,Unit,Channels
STORE-001,Main Store Downtown,ITEM-1001,Espresso Single,ESP-001,8850001001,Beverages - Coffee,PHYSICAL,ACTIVE,0.60,2.50,250,50,Cup,POS;WEB;APP
STORE-001,Main Store Downtown,ITEM-1002,Iced Latte Large,LAT-002,8850001002,Beverages - Coffee,PHYSICAL,ACTIVE,0.90,3.75,185,30,Cup,POS;TELEGRAM;WEB;APP
STORE-001,Main Store Downtown,ITEM-1003,Croissant Butter,CRO-003,8850001003,Bakery,PHYSICAL,ACTIVE,0.70,2.20,65,15,Piece,POS;WEB
STORE-001,Main Store Downtown,ITEM-1004,Cappuccino Hot,CAP-004,8850001004,Beverages - Coffee,PHYSICAL,ACTIVE,0.80,3.25,120,25,Cup,POS;WEB;APP
STORE-001,Main Store Downtown,ITEM-1005,Americano Iced,AME-005,8850001005,Beverages - Coffee,PHYSICAL,ACTIVE,0.55,2.75,210,40,Cup,POS;WEB;APP
STORE-001,Main Store Downtown,ITEM-1006,Matcha Latte,MAT-006,8850001006,Beverages - Tea,PHYSICAL,ACTIVE,1.20,4.25,95,20,Cup,POS;TELEGRAM;WEB
STORE-001,Main Store Downtown,ITEM-1007,Chocolate Muffin,MUF-007,8850001007,Bakery,PHYSICAL,ACTIVE,0.85,2.50,48,10,Piece,POS;WEB
STORE-001,Main Store Downtown,ITEM-1008,Avocado Toast,AVO-008,8850001008,Food - Breakfast,PHYSICAL,ACTIVE,1.80,5.50,30,8,Portion,POS;WEB
STORE-001,Main Store Downtown,ITEM-1009,Caramel Macchiato,CAR-009,8850001009,Beverages - Coffee,PHYSICAL,ACTIVE,1.00,4.00,110,20,Cup,POS;TELEGRAM;WEB
STORE-001,Main Store Downtown,ITEM-10010,Green Tea Frappe,GRE-010,8850001010,Beverages - Blended,PHYSICAL,ACTIVE,1.25,4.50,80,15,Cup,POS;WEB
STORE-001,Main Store Downtown,ITEM-10011,Bagel Cream Cheese,BAG-011,8850001011,Bakery,PHYSICAL,ACTIVE,0.95,3.00,42,10,Piece,POS;WEB
STORE-001,Main Store Downtown,ITEM-10012,Earl Grey Tea,EAR-012,8850001012,Beverages - Tea,PHYSICAL,ACTIVE,0.40,2.25,160,30,Cup,POS;WEB
STORE-001,Main Store Downtown,ITEM-10013,Mocha Iced,MOC-013,8850001013,Beverages - Coffee,PHYSICAL,ACTIVE,1.10,4.25,105,20,Cup,POS;TELEGRAM;WEB
STORE-001,Main Store Downtown,ITEM-10014,Club Sandwich,CLU-014,8850001014,Food - Lunch,PHYSICAL,ACTIVE,2.10,6.00,25,5,Portion,POS;WEB
STORE-001,Main Store Downtown,ITEM-10015,Tiramisu Slice,TIR-015,8850001015,Dessert,PHYSICAL,ACTIVE,1.50,4.50,35,8,Slice,POS;WEB
